X,Y,Name,Attribute,CATCOA,CATROD,CATSLO,ELEVAT,NATCON,OBJNAM,SORDAT,SORIND,STATUS,VALDCO
-64.2168276,-42.2289491,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.5186889,-42.42986155,Road,Value,,3,,,,,19950401,"AR,AR,graph,H277",,
-64.2844773499976,-42.422279199998,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.0414584993023,-42.3861032415527,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.0744257662689,-42.2609623388661,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.2213587733918,-42.2270694701688,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.20911385,-42.2357773,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.2724136486832,-42.230910900827,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.2401872529906,-42.2277224959084,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.0209968985928,-42.3491531617354,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.1849232040844,-42.244089057637,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.2417323815412,-42.2221017175819,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.5887189120975,-42.361968854423,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.6713178960102,-42.297224545839,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.2142734000234,-42.216213000018,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.432425,-42.44203345,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.053023109005,-42.4014603446195,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-63.9714690067342,-42.1634330017303,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.5527364,-42.435398,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.0610705893039,-42.2239367929635,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.2724431667789,-42.4427986341061,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.1038923522319,-42.2361218690782,Road,Value,,3,,,,,19950401,"AR,AR,graph,H277",,
-64.5815692171972,-42.4274717200805,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.6428318720808,-42.3479548348644,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
