RCID,Latitud,Longitud,Profundidad
1614,-42.1464800,-64.4910580,171.0
1616,-42.3994040,-64.5325920,23.5
1617,-42.1339770,-64.2439620,95.0
1619,-42.4268090,-64.4208730,4.2
1622,-42.2766580,-64.3933790,43.0
1623,-42.2751650,-64.1001980,23.5
1624,-42.1143960,-64.1116700,52.0
1626,-42.3556430,-64.09145,41.0
1628,-42.3391380,-64.5487610,20.5
1629,-42.1753180,-64.5755590,125.0
1631,-42.3894880,-64.2907390,4.9
1632,-42.2398930,-64.4018940,8.7
1634,-42.1041070,-64.0135960,46.0
1639,-42.3770610,-64.3075030,10.5
1640,-41.7472610,-64.0476740,88.0
1642,-42.0431760,-64.3213010,129.0
1645,-42.3969910,-64.1328540,17.5
1646,-42.174368,-64.5514530,131.0
1647,-42.2535620,-64.2365460,9.6
1649,-42.4122130,-64.3361460,2.3
1650,-42.1841880,-64.2747700,12.6
1651,-42.3567240,-64.5611340,8.7
1652,-42.3304990,-64.553722,6.4
1653,-42.285259,-64.1407670,40.0
1654,-42.2052360,-64.6265800,73.0
1655,-42.1981000,-64.6414690,90.0
1658,-42.335778,-64.5512380,14.5
1659,-42.4082500,-64.5190110,18.5
1660,-41.9744230,-64.5308330,158.0
1663,-42.3919390,-64.2981020,6.1
1664,-42.3968100,-64.3379190,10.2
1667,-41.9747840,-64.3283070,149.0
1669,-42.3274220,-64.0628540,4.2
1670,-42.1669240,-64.1631650,15.6
1671,-42.2782080,-64.1164360,31.0
1673,-42.3586860,-64.0677630,28.5
1675,-42.1114220,-64.1044580,55.0
1677,-42.1317990,-64.1983260,47.0
1679,-42.0673470,-64.4429660,174.0
1680,-42.2828310,-64.0780460,10.5
1681,-42.1364420,-64.5296970,170.0
1682,-42.1279690,-64.174919,56.0
1683,-42.2637150,-64.3262900,8.2
1686,-42.4044530,-64.2062210,27.5
1688,-42.3755890,-64.1762870,51.0
1689,-42.2407770,-64.3919500,6.7
1694,-42.4068270,-64.5150690,19.5
1696,-42.3918280,-64.2368730,19.5
1697,-42.4019690,-64.5538810,18.5
1698,-42.1313980,-64.1618140,48.0
1700,-42.2011860,-64.6016790,93.0
1703,-42.408021,-64.3184280,1.5
1705,-42.1414830,-64.3659550,175.0
1706,-42.2670580,-64.3028520,36.0
1707,-42.3233570,-64.0807900,30.5
1709,-42.1200270,-64.2081630,50.0
1711,-42.4232130,-64.4108260,7.7
1713,-41.8117260,-64.0312140,77.0
1714,-42.131444,-64.3179680,168.0
1715,-42.3598340,-64.5599750,16.5
1717,-42.130942,-64.3584330,170.0
1718,-42.1355370,-64.3523630,171.0
1720,-42.3134230,-64.1306970,43.0
1722,-42.3503810,-64.5618120,4.9
1723,-42.1503900,-64.5540270,146.0
1725,-42.0673880,-63.9864110,54.0
1726,-42.2537860,-64.2523250,15.5
1727,-42.1846780,-64.4664160,164.0
1728,-41.7522180,-64.3776600,123.0
1729,-42.087823,-64.1611220,35.0
1730,-42.2719280,-64.0970850,15.5
1732,-42.0892020,-64.4070770,174.0
1733,-42.1094200,-64.4219700,175.0
1736,-42.3945990,-64.4115430,25.5
1738,-42.3449880,-64.4607240,46.0
1739,-42.3561360,-64.153773,59.0
1740,-42.1470040,-64.4658210,170.0
1741,-42.2214480,-64.3726220,38.0
1742,-42.3333230,-64.1665850,61.0
1743,-42.2551820,-64.2059020,3.1
1746,-42.1838250,-64.2474030,11.6
1747,-42.254466,-64.3655440,11.5
1748,-42.0811590,-64.3824360,164.0
1749,-42.4068630,-64.395377,18.5
1753,-42.4248780,-64.421937,6.6
1755,-42.2936290,-64.3189810,65.0
1757,-42.1488090,-64.0536950,32.0
1759,-42.1781830,-64.4317440,163.0
1760,-42.2805580,-64.0667370,1.8
1761,-42.3257430,-64.3086170,65.0
1762,-42.2537050,-64.4421770,16.6
1763,-42.046882,-64.5604740,152.0
1764,-42.0982190,-64.2283010,72.0
1765,-41.9746670,-64.3938500,160.0
1766,-42.2613410,-64.2796840,24.5
1767,-42.2296410,-64.4970930,10.5
1768,-42.2533940,-64.1394280,4.1
1769,-42.3969830,-64.0965280,6.2
1770,-42.2538950,-64.1209080,3.9
1771,-42.2633070,-64.2096200,14.5
1772,-42.2960170,-64.4251750,70.0
1774,-42.0840830,-64.3258300,165.0
1775,-42.2590980,-64.1206480,6.7
1776,-42.2828310,-64.0898740,24.5
1777,-42.2551670,-64.2431170,13.5
1780,-42.3374070,-64.5198130,43.0
1781,-41.9384710,-64.6100600,152.0
1782,-42.2834000,-64.2312600,46.0
1783,-42.1211880,-64.1140740,44.0
1786,-42.3002920,-64.3275400,70.0
1788,-42.2696160,-64.1088620,17.5
1789,-42.1115570,-63.9863360,50.0
1790,-42.2543190,-64.1325280,5.4
1792,-42.0260220,-64.4004020,138.0
1793,-42.2539980,-64.4155170,24.5
1795,-42.0785190,-64.5516110,159.0
1798,-42.3211320,-64.5106410,51.0
1800,-42.2667040,-64.2613060,29.5
1801,-42.3131990,-64.1172950,33.0
1805,-42.1273210,-64.1662090,56.0
1806,-42.3712040,-64.1665850,38.0
1809,-42.3006390,-64.2262740,51.0
1810,-42.2250190,-64.5208530,28.5
1811,-42.100341,-64.4216590,175.0
1813,-42.3982750,-64.5225880,29.5
1815,-42.2848440,-64.2417650,48.0
1821,-42.1785930,-64.3949710,146.0
1822,-42.3775120,-64.1643550,47.0
1824,-42.3266670,-64.3707670,58.0
1828,-42.3707190,-64.5043210,46.0
1829,-42.2591000,-64.2225030,9.1
1831,-42.0974030,-64.3748020,174.0
1832,-42.3106080,-64.5393900,14.5
1833,-42.3478100,-64.52539,50.0
1835,-42.419561,-64.4296760,4.4
1838,-42.2955550,-64.0710550,23.5
1839,-42.1263770,-64.1983890,48.0
1841,-42.4071960,-64.1186080,10.5
1842,-42.3544240,-64.1334710,56.0
1844,-42.4108260,-64.5155350,15.5
1845,-42.2049660,-64.2854290,10.6
1847,-42.3828680,-64.5086010,42.0
1848,-42.1171020,-64.4077520,175.0
1849,-42.422754,-64.357917,2.2
1850,-42.4107580,-64.3449310,9.4
1851,-42.2699790,-64.3138330,11.5
1854,-42.3989440,-64.4934880,17.5
1855,-42.3706810,-64.1365580,46.0
1856,-42.3588190,-64.4265670,60.0
1857,-42.0826710,-64.029454,40.0
1858,-42.1760930,-64.4806830,166.0
1859,-42.3398700,-64.1172900,14.5
1861,-42.3788630,-64.2900510,28.5
1862,-42.2708790,-64.4188430,43.0
1864,-42.1053710,-64.5880710,150.0
1865,-42.2740570,-64.1711670,33.0
1866,-42.2684150,-64.4645400,9.8
1868,-42.2250470,-64.3522590,7.5
1869,-42.2806710,-64.4101100,50.0
1870,-42.3724500,-64.1457920,49.0
1871,-42.354191,-64.5178240,60.0
1872,-42.2529040,-64.3808250,13.6
1873,-42.3801660,-64.1836530,48.0
1874,-42.0872060,-64.0721260,47.0
1875,-42.4062030,-64.1139390,7.2
1876,-42.0446160,-64.3885870,143.0
1877,-42.1105020,-64.3329510,172.0
1878,-42.115516,-64.6257020,141.0
1879,-42.213845,-64.3060010,5.9
1880,-42.1588050,-64.2294950,29.5
1881,-42.2488550,-64.3926420,14.6
1882,-42.0962670,-64.0125520,40.0
1885,-42.1614470,-64.3554940,164.0
1886,-42.4213520,-64.4388300,12.5
1887,-42.2687690,-64.1186670,19.5
1888,-42.1278500,-64.0444490,33.0
1890,-42.2754060,-64.310374,38.0
1892,-42.2531240,-64.1472100,5.3
1893,-42.2628160,-64.3630800,13.5
